pixel_id,latitude,longitude,reference_percentile,heat_days,threshold_used,temperature_trend,seasonal_means,annual_max,annual_min,annual_range
2_36,-13.003113737630073,-38.31763844411819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_37,-13.003113737630073,-38.308655291277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_0,-12.994130584788879,-38.69493086344839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_1,-12.994130584788879,-38.685947710607195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_2,-12.994130584788879,-38.676964557766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_3,-12.994130584788879,-38.6679814049248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_4,-12.994130584788879,-38.658998252083606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_5,-12.994130584788879,-38.65001509924242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_6,-12.994130584788879,-38.64103194640122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_7,-12.994130584788879,-38.632048793560024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_8,-12.994130584788879,-38.62306564071883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_9,-12.994130584788879,-38.61408248787763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_10,-12.994130584788879,-38.605099335036435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_11,-12.994130584788879,-38.542217265148075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_12,-12.994130584788879,-38.53323411230688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_13,-12.994130584788879,-38.52425095946568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_14,-12.994130584788879,-38.515267806624486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_15,-12.994130584788879,-38.50628465378329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_16,-12.994130584788879,-38.49730150094209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_17,-12.994130584788879,-38.4883183481009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_18,-12.994130584788879,-38.47933519525971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_19,-12.994130584788879,-38.47035204241851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_20,-12.994130584788879,-38.461368889577315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
